,год,время_года,климат,город,страна,способ_охлаждения,режим_при_смешанном_типе_охлаждения,способ_обогрева,возраст,пол,ощущение_температуры,ощущение_температуры_(bool),предпочтительное_изменение_температуры,ощущение_движения_воздуха_(bool),предпочтительное_изменение_движения_воздуха,оценка_комфорта,утепление,температура_воздуха_в_помещении,rh,скорость_воздуха,рост,вес,занавески,вентилятор,окно,двери,среднемесячная_температура_на_улице,количество_рекламаций,countmen,реклам_категория,возрастная_категория,precent_satisf,стандр_комф_вл
21,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,39,Мужской,0.0,1.0,Без изменений,,Без изменений,3.5,0.54,23.2,42.2,0.21,170.2,63.0,1.0,1.0,0.0,0.0,28.9,0,1,мало,молодой возраст,56,OK
22,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,35,Мужской,0.0,1.0,Без изменений,,Меньше,5.0,0.57,24.7,39.4,0.11,170.2,63.0,0.0,0.0,0.0,0.0,32.8,0,1,мало,молодой возраст,56,not OK
23,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,26,Мужской,0.0,1.0,Без изменений,,Без изменений,3.5,0.54,23.4,39.1,0.11,170.2,63.0,1.0,1.0,0.0,0.0,28.9,0,1,мало,молодой возраст,56,not OK
24,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,29,Мужской,2.0,0.0,Холоднее,,Больше,3.0,0.54,24.1,34.8,0.21,170.2,63.0,1.0,1.0,0.0,0.0,31.7,1,1,мало,молодой возраст,56,not OK
25,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,46,Мужской,-2.0,1.0,Без изменений,,Без изменений,6.0,0.61,23.7,38.3,0.11,170.2,63.0,0.0,0.0,0.0,0.0,28.9,0,1,мало,средний возраст,56,not OK
26,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,40,Мужской,0.0,1.0,Без изменений,,Больше,5.0,0.57,23.6,45.9,0.06,170.2,63.0,0.0,0.0,0.0,0.0,28.9,0,1,мало,молодой возраст,56,OK
27,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,38,Женский,-1.0,0.0,Теплее,,Меньше,2.0,0.61,23.8,42.3,0.36,170.2,63.0,1.0,1.0,0.0,0.0,32.8,1,1,мало,молодой возраст,53,OK
28,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,26,Женский,0.0,1.0,Холоднее,,Больше,4.0,0.54,24.3,35.3,0.13,170.2,63.0,1.0,1.0,0.0,0.0,31.7,0,1,мало,молодой возраст,53,not OK
29,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,38,Женский,-0.5,1.0,Без изменений,,Меньше,4.5,0.61,23.8,42.1,0.33,170.2,63.0,1.0,1.0,0.0,0.0,32.8,0,1,мало,молодой возраст,53,OK
30,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,50,Женский,-2.0,1.0,Без изменений,,Без изменений,6.0,0.61,24.3,37.6,0.09,170.2,63.0,0.0,0.0,0.0,0.0,28.9,0,1,мало,средний возраст,53,not OK
31,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,28,Женский,0.0,1.0,Без изменений,,Меньше,5.0,0.57,23.9,35.9,0.33,170.2,63.0,1.0,1.0,0.0,0.0,32.8,0,1,мало,молодой возраст,53,not OK
32,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,39,Женский,-1.0,1.0,Без изменений,,Без изменений,5.0,0.57,25.0,36.0,0.12,170.2,63.0,0.0,0.0,0.0,0.0,32.8,0,1,мало,молодой возраст,53,not OK
33,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,26,Женский,-1.0,0.0,Теплее,,Меньше,3.0,0.57,23.8,44.3,0.33,170.2,63.0,1.0,1.0,0.0,0.0,32.8,1,1,мало,молодой возраст,53,OK
34,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,25,Женский,1.0,1.0,Холоднее,,Без изменений,4.0,0.61,24.1,37.9,0.14,170.2,63.0,1.0,1.0,0.0,0.0,31.7,0,1,мало,молодой возраст,53,not OK
